MLPModelWithHook{'validation': 0.7770881882499536, 'id_test': 0.7762120044250792, 'ood_test': 0.36373806819362814, 'ood_validation': 0.3601500946344469, 'train': 0.7760952951251907}
MLPModelWithHook{'validation': 0.7770881882499536, 'id_test': 0.7762120044250792, 'ood_test': 0.3637295094494649, 'ood_validation': 0.3601500946344469, 'train': 0.7760952951251907}
MLPModelWithHook{'validation': 0.7770881882499536, 'id_test': 0.7762120044250792, 'ood_test': 0.3637344001604153, 'ood_validation': 0.3601721026453629, 'train': 0.7760952951251907}
MLPModelWithHook{'validation': 0.776842571902688, 'id_test': 0.7759084791386271, 'ood_test': 0.3692743529895082, 'ood_validation': 0.3659602095162639, 'train': 0.7756761998567737}
MLPModelWithHook{'validation': 0.7770881882499536, 'id_test': 0.7762120044250792, 'ood_test': 0.36497908609729823, 'ood_validation': 0.3616246313658172, 'train': 0.7760955447352373}
MLPModelWithHook{'validation': 0.7879871640497543, 'id_test': 0.7872008179207719, 'ood_test': 0.5295233879911038, 'ood_validation': 0.5286324222016814, 'train': 0.7868499935975023}
MLPModelWithHook{'validation': 0.8010986838558172, 'id_test': 0.7997172422331473, 'ood_test': 0.6312734066369393, 'ood_validation': 0.6314978652229412, 'train': 0.7999992012478505}
MLPModelWithHook{'validation': 0.7914497554819372, 'id_test': 0.7906254617777796, 'ood_test': 0.5703669378158329, 'ood_validation': 0.568653990052379, 'train': 0.790600384549238}
MLPModelWithHook{'validation': 0.8009748772417484, 'id_test': 0.7999648549668319, 'ood_test': 0.6123439099033229, 'ood_validation': 0.6141445486156961, 'train': 0.800103538247373}
MLPModelWithHook{'validation': 0.7978317867490979, 'id_test': 0.7970514115922697, 'ood_test': 0.5935330129102542, 'ood_validation': 0.5936991064747568, 'train': 0.7967475311694305}
MLPModelWithHook{'validation': 0.7770881882499536, 'id_test': 0.7762120044250792, 'ood_test': 0.3637295094494649, 'ood_validation': 0.3601500946344469, 'train': 0.7760952951251907}
MLPModelWithHook{'validation': 0.8075466121917565, 'id_test': 0.8066384175150065, 'ood_test': 0.6514451439519634, 'ood_validation': 0.650699854747128, 'train': 0.806943103137124}
MLPModelWithHook{'validation': 0.7894828278229405, 'id_test': 0.7888302694585668, 'ood_test': 0.4348734589675465, 'ood_validation': 0.43297460275540295, 'train': 0.7887999472823581}
MLPModelWithHook{'validation': 0.8095135398507531, 'id_test': 0.8085993506156371, 'ood_test': 0.635554001396298, 'ood_validation': 0.635756415335182, 'train': 0.8093660678604849}
MLPModelWithHook{'validation': 0.8040780301169573, 'id_test': 0.8027664732358591, 'ood_test': 0.6246061449337736, 'ood_validation': 0.6253246181610106, 'train': 0.8032798260916882}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
MLPModelWithHook{'validation': 0.5977967542789545, 'id_test': 0.5980334171225787, 'ood_test': 0.4157073938244039, 'ood_validation': 0.4164859002169197, 'train': 0.5987865681504175}
DomainGroupDROModel{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757699486700887}
DomainGroupDROModel{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757699486700887}
DomainGroupDROModel{'validation': 0.5401306579561362, 'id_test': 0.5390716118497784, 'ood_test': 0.5148328362894365, 'ood_validation': 0.5074152542372882, 'train': 0.5417347176854876}
DomainGroupDROModel{'validation': 0.5781614559029398, 'id_test': 0.5838581758805692, 'ood_test': 0.5061607283001098, 'ood_validation': 0.4936440677966102, 'train': 0.5757699486700887}
